smiles,dataset,num_atoms,num_bonds,tox21_avg_bond_importance,tox21_max_bond_importance,esol_avg_bond_importance,esol_max_bond_importance,chembl_avg_bond_importance,chembl_max_bond_importance
CC1=CC=C(C=C1C)[N+]([O-])=O,Tox21,11,22,0.032027997,0.045675725,3.4678862,4.101824,3.408445e-05,6.360497e-05
COC1=CC=C(C=C1)C(Cl)=C(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3,Tox21,27,58,0.011449994,0.026672587,1.5906953,1.9282018,0.00019768186,0.00049839413
NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl,Tox21,13,26,0.039369904,0.07166402,3.1034253,5.3863077,0.0016317628,0.0023730188
CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,Tox21,19,40,0.017520051,0.027114466,1.4165576,1.8266909,0.09848185,0.18433528
CN(C)C1=CC=C(CC2=CC=C(C=C2)N(C)C)C=C1,Tox21,19,40,0.012265176,0.025693728,2.527546,3.143981,8.063579e-07,1.7261157e-06
CC(C)C(OC(=O)C(C)C)C(C)(C)COC(=O)C(C)C,Tox21,20,38,0.002547099,0.0038926383,1.9022036,2.7365208,0.17642955,0.29564556
CC(=O)CCC(O)=O,Tox21,8,14,0.0073245433,0.009444781,1.3719273,1.873452,1.6688487e-05,3.2897948e-05
[Na+].[Na+].[Na+].OC1=C(C=C2C=C(C=CC2=C1\N=N/C3=C4C=CC=CC4=C(C=C3)S([O-])(=O)=O)S([O-])(=O)=O)S([O-])(=O)=O,Tox21,38,76,0.008428164,0.0154009815,0.9863372,1.4831209,4.0216346e-08,1.2113298e-07
OC1N=C(C2=CC=CC=C2)C3=CC(Cl)=CC=C3NC1=O,Tox21,20,44,0.023903882,0.058202915,2.0427344,2.6145368,0.039247874,0.17063598
[H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(C)CC[C@]3([H])[C@@]4([H])CC[C@H](OC(C)=O)C=C4CC[C@@]23[H],Tox21,28,62,0.004587488,0.0075235367,1.3796287,1.9608195,0.000115209994,0.00024502323
NC1=CC=C(C=C1)S(=O)(=O)NC2=CN=C3C=CC=CC3=N2,Tox21,21,46,0.022104211,0.040685147,1.9817097,3.017469,0.12098951,0.23015285
NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O,Tox21,14,28,0.020045165,0.029770777,1.7921971,2.7544997,0.0012762205,0.0029826607
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]3([H])[C@@]4([H])CCC(=O)C=C4CC[C@@]23[H],Tox21,20,46,0.0072936676,0.011123028,1.9200239,2.5599303,1.800736e-05,4.1910673e-05
OC1=C2N=CC=CC2=C(I)C=C1I,Tox21,13,28,0.040896203,0.057708263,2.0976164,2.8440363,0.17350383,0.3678255
[H][C@@]1(CC[C@@]2(C)[C@]3([H])CC[C@]4([H])[C@]5(C[C@@]35CC[C@]12C)CC[C@H](OC(=O)\C=C\C6=CC=C(O)C(OC)=C6)C4(C)C)[C@H](C)CCC=C(C)C,Tox21,44,98,0.0034024613,0.0055863587,0.9344063,1.2343099,4.1255607e-05,0.00016301547
[H][C@@]1([C@H](OC)[C@@H](CC[C@]12CO2)OC(=O)\C=C\C=C\C=C\C=C\C(O)=O)[C@@]3(C)O[C@@H]3CC=C(C)C,Tox21,33,70,0.0030234896,0.0041980864,1.2204151,1.8408613,0.00010969067,0.00039314028
COP(=S)(OC)OC1=CC(C)=C(SC)C=C1,Tox21,16,32,0.005690806,0.009281579,1.9155698,3.138823,2.5072793e-09,4.42665e-09
Cl.Cl\C(=C/N1C=NC=N1)C2=C(Cl)C=C(Cl)C=C2,Tox21,17,34,0.025820455,0.052455556,2.2956965,3.2241182,8.748355e-06,2.148483e-05
Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,Tox21,20,40,0.009835695,0.0207473,2.0594575,2.323029,7.3337657e-07,2.7411302e-06
Cl.COC(=O)C1=CC=CC=C1C(=O)C2=CC=C(OCCN3CCCCC3)C=C2,Tox21,28,58,0.0068027624,0.012164994,1.568347,2.1217742,0.0013007153,0.0036476762
CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C4=C(C(O)=C3C)C(O)=C(NC(=O)C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(\C=N\N5CCN(C)CC5)=C4O,Tox21,59,126,0.0031736966,0.0066324286,0.5009991,0.87676543,0.016544348,0.07272084
NC(=S)NCC=C,Tox21,7,12,0.00952018,0.011567677,2.6261387,3.2582698,0.049749877,0.09509426
NCCC1=CN=CN1,Tox21,8,16,0.020046895,0.03009795,2.3791828,3.0592196,0.0072688693,0.010147126
[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,Tox21,21,40,0.0055001206,0.009335269,1.4111277,1.6634004,0.00058367214,0.0012317263
O=C\C=C\C1=CC=CC=C1,Tox21,10,20,0.02860171,0.039853275,3.9801135,4.4791594,0.00062453636,0.0012256938
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)C=CC3=C4CCC(=O)C=C4CC[C@@]23[H],Tox21,23,52,0.007980882,0.014129667,1.872205,3.000494,0.0013886304,0.00304599
CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O,Tox21,19,38,0.006270785,0.012326622,1.8384012,2.5457406,0.0012534115,0.0034277495
CCCCCCCCC(=O)NCC1=CC(OC)=C(O)C=C1,Tox21,21,42,0.004069719,0.007168167,1.8757619,2.6364298,0.00019467449,0.00035378698
OC1=C(C=CC=C1)C(=O)OC2=CC=CC=C2,Tox21,16,34,0.03269095,0.06632234,2.5279837,3.1516452,0.01053255,0.02393803
NC(CO)(CO)CO.OC(=O)[C@@H]1CCN2C1=CC=C2C(=O)C3=CC=CC=C3,Tox21,27,56,0.0070568225,0.012335284,1.1545478,2.190369,0.36018834,0.6496078
[Br-].CN(C)C(=O)OC1=CC=C[N+](C)=C1,Tox21,14,26,0.010161156,0.016683359,2.4423995,2.784251,2.5394285e-14,5.714633e-14
OC1=C(Br)C=C(Br)C=C1Br,Tox21,10,20,0.052928053,0.073830925,2.514417,3.6312723,0.53857934,0.85023904
CC(=O)OC\C=C(C)\C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C,Tox21,24,48,0.003730787,0.005142684,1.5630078,1.9888037,1.2725721e-06,2.753408e-06
CCOC1=CC=C(NC(=O)CC(C)O)C=C1,Tox21,16,32,0.0076565603,0.011994883,1.6080794,2.3734694,0.001541057,0.0035768803
Cl.OC(CCN1CCCCC1)(C2CC3CC2C=C3)C4=CC=CC=C4,Tox21,24,52,0.0063300156,0.011923258,1.8000361,3.0081663,0.00016788527,0.0005142224
ClC1=C(NC2=NCCN2)C3=NSN=C3C=C1,Tox21,16,36,0.022733347,0.037889555,2.45928,3.3616138,0.00071002636,0.0017139012
NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1,Tox21,20,40,0.005241174,0.008823293,0.98501337,1.7970331,0.011567916,0.021752812
NCCNCCN,Tox21,7,12,0.0026827517,0.0033337171,2.684706,3.184214,2.8778405e-10,3.3061337e-10
[H][C@@]12C[C@](C)(CC[C@]1(C)CC[C@]3(C)C2=CC(=O)[C@]4([H])[C@@]5(C)CC[C@H](O[C@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6O[C@@H]7O[C@@H]([C@@H](O)[C@H](O)[C@H]7O)C(O)=O)C(O)=O)C(C)(C)[C@]5([H])CC[C@@]34C)C(O)=O,Tox21,58,128,0.0028231884,0.0048198844,0.5890016,1.0542908,0.025603374,0.06920393
CCCCCCCCCCCCCCCC(O)=O,Tox21,18,34,0.0013640565,0.0022931048,1.9753907,2.3638415,3.5921307e-12,7.0028328e-12
CC(C)=C[C@@H]1[C@@H](C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C,Tox21,25,54,0.008906018,0.016796542,1.6345545,2.2285085,0.012153606,0.025603324
CC(=O)NC1=CC=CC(O)=C1,Tox21,11,22,0.027478594,0.0469321,1.9977391,2.5680614,0.001070208,0.0023560233
C[C@H]1CN(C[C@@H](C)N1)C2=C(F)C3=C(C(=O)C(=CN3C4CC4)C(O)=O)C(N)=C2F,Tox21,28,62,0.009819619,0.018409556,1.5675663,2.461426,0.00012493663,0.00034394016
C[Si](C)(C)O[Si](C)(C)C,Tox21,9,16,0.0014492862,0.0014996752,1.1319163,1.1477814,2.830411e-23,5.2133952e-23
C\C=C\C=C\C(O)=O,Tox21,8,14,0.00939302,0.013229358,3.7560375,4.469052,2.2522806e-07,3.225951e-07
CC(C)(C)C1=CC=C(O)C=C1,Tox21,11,22,0.029205786,0.050259143,3.258367,3.6688933,0.014641867,0.030181805
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,Tox21,18,36,0.0065080393,0.01110968,2.101996,2.8192384,0.002448977,0.0065988405
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2,Tox21,21,44,0.006763011,0.011453502,1.8604976,2.9340403,0.00012116854,0.00040968898
CCN(C(=O)C=CC)C1=CC=CC=C1C,Tox21,15,30,0.009317244,0.014768911,2.6809113,3.5679693,8.3500034e-08,1.8355769e-07
CCOC1=CC=C(NC(C)=O)C=C1,Tox21,13,26,0.012377899,0.021811213,2.6461995,3.3982763,2.6303647e-07,6.583324e-07
Cl.Cl.OC(=O)COCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(Cl)C=C3,Tox21,29,58,0.006178848,0.012811508,1.3846828,1.7681354,0.0039489586,0.011352407
Cl.NCCC1=NNC=C1,Tox21,9,16,0.01503595,0.022400323,2.372729,3.334166,0.08541111,0.11416879
Cl.COC1=C2C(=O)C3=C(C(=O)C2=CC=C1)C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O)C(=O)CO,Tox21,40,86,0.006179473,0.011031141,0.9351537,1.5450743,0.0040410925,0.01262537
CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,Tox21,16,32,0.01135576,0.021632042,2.5127401,3.7117877,6.587291e-05,0.00022283765
CCNC1=NC(NCC)=NC(Cl)=N1,Tox21,13,26,0.010212383,0.012680139,3.0936103,4.320994,5.6837594e-06,1.178738e-05
CNC(C)CC1=CC=CC=C1OC,Tox21,13,26,0.008348488,0.011155679,2.8302042,3.7166376,1.8433571e-10,4.2758122e-10
CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,Tox21,18,34,0.0022973071,0.0034999317,1.1435872,2.216043,1.2872032e-05,2.3901464e-05
FC1=CN(C2CCCO2)C(=O)NC1=O,Tox21,14,30,0.02225966,0.03096148,2.0876834,2.561714,3.762138e-09,8.8028695e-09
CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N,Tox21,22,46,0.012876729,0.022353193,1.9228668,2.827128,0.006899463,0.01629569
NC(=O)NNC1=CC=CC=C1,Tox21,11,22,0.027150286,0.043026254,2.2091346,2.8736904,0.016600035,0.03301266
NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl,Tox21,17,36,0.011277214,0.017452765,1.8744984,2.9401922,0.0005724308,0.0016514449
O.O.O.C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O.C[C@](N)(CC2=CC=C(O)C(O)=C2)C(O)=O,Tox21,33,60,0.0073780743,0.013954947,0.733408,0.8378216,0.0138985505,0.034957744
CC(=O)O[Al](O)OC(C)=O,Tox21,10,18,0.006227936,0.010160428,1.2280605,1.3908441,0.00020989828,0.00043442595
OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,Tox21,12,24,0.009731983,0.014600676,0.18284132,0.2662607,0.6288836,1.0336531
NC1=CC=C(C=C1)[As](O)(O)=O,Tox21,11,22,0.020810537,0.031454828,2.0292304,3.12674,0.11911449,0.19803254
CC(=O)NC1=CC=C(C=C1)C(O)=O,Tox21,13,26,0.02221798,0.040420372,2.6863265,3.4796011,0.0023162658,0.0052208807
CC(=O)NC1=CC=CC=C1,Tox21,10,20,0.026145604,0.04589042,2.4969585,2.984632,2.2494844e-07,6.575516e-07
CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O,Tox21,25,52,0.010282118,0.021284472,1.7435693,2.227679,0.006332546,0.031125532
OC(=O)\C=C/C(O)=O,Tox21,8,14,0.016873617,0.020824242,2.31859,2.5257032,0.00011311623,0.0001758069
CCN1C=C(C(O)=O)C(=O)C2=C1N=C(C)C=C2,Tox21,17,36,0.017231312,0.030634612,2.514636,3.2743917,0.0017449887,0.0031133103
CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(O)=O,Tox21,21,46,0.008018907,0.013238186,1.9925787,3.1544771,0.00024159563,0.0006858059
O=C1NC(=S)NC=C1,Tox21,8,16,0.066675514,0.08625709,2.8596368,3.5795648,2.2420023e-05,3.7311107e-05
[H][C@@]12[C@H]3CCN1CC=C2COC(=O)[C@](C)(O)[C@](C)(O)[C@@H](C)C(=O)O3,Tox21,23,50,0.008116069,0.015833328,1.1477561,1.6318157,0.0035578085,0.0068620266
CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1,Tox21,17,34,0.009037698,0.014665142,2.2236538,2.8757877,0.02922241,0.0673429
NC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(Cl)N=N2,Tox21,18,38,0.02452076,0.041858435,2.1986136,2.7710638,0.016154584,0.029616788
COC1=CC=C(C=C1)S(=O)(=O)NC2=NN=C(CC(C)C)S2,Tox21,21,44,0.008090556,0.014097036,1.7096977,2.2396488,0.0053354017,0.008883138
OC(=O)CCCCC(O)=O,Tox21,10,18,0.005134171,0.006768865,1.5427862,1.9387459,0.044779632,0.0660267
OC(C(=O)C1=CC=CC=C1)C2=CC=CC=C2,Tox21,16,34,0.024956552,0.055656347,2.654501,3.208891,0.55150026,1.8153331
CC1=CC(O)=CC(C)=C1Cl,Tox21,10,20,0.039911266,0.057729833,2.5467143,2.87109,0.0008728181,0.0012191001
CCC(C)(C)C1=CC=C(O)C=C1,Tox21,12,24,0.020156043,0.033156242,2.9841385,3.3665602,0.0011613716,0.0026940075
OC1=NC=NC2=C1C=NN2,Tox21,10,22,0.05570984,0.07273966,2.3582733,2.8520947,0.20756103,0.5247711
C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]4C=C(CO)[C@@H](O)[C@H](O)[C@H]4O,Tox21,44,94,0.0023050471,0.0032987222,0.28053805,0.5209215,0.005837121,0.01778679
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,Tox21,12,24,0.009500803,0.012241839,1.1210992,1.1534967,2.0403762e-07,2.4100973e-07
CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,Tox21,20,38,0.0017055963,0.00269116,1.9007673,2.644238,8.55429e-09,3.08126e-08
O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)C4=NC=CC=N4,Tox21,28,62,0.0050825384,0.0063704727,1.4595839,1.7737114,0.004461927,0.011142998
CC(=C)C1CCC(C)=CC1,Tox21,10,20,0.009733341,0.013285471,3.7608135,4.632855,8.338879e-09,2.0495328e-08
OC1=CC=CC2=C1C(=O)C3=C(O)C=CC=C3C2=O,Tox21,18,40,0.03500372,0.04962981,2.322982,3.4788961,0.00017023215,0.00067445746
[Na+].CCCCCCCCCCCCOS([O-])(=O)=O,Tox21,18,32,0.0015806033,0.0023908536,1.7804987,2.2056906,1.6387833e-14,2.7199781e-14
CCC(CC)NC1=C(C(C)=C(C)C=C1[N+]([O-])=O)[N+]([O-])=O,Tox21,20,40,0.008349124,0.0121741,1.8346713,3.1529207,2.0507107e-07,5.288106e-07
[H]\C(C(O)=O)=C(/[H])C([O-])=O.C[NH+](C)CCC(C1=CC=C(Cl)C=C1)C2=NC=CC=C2,Tox21,27,54,0.007824052,0.014126519,1.5107416,2.0153599,2.023763e-05,5.462167e-05
CCN(CC)C(=O)C(C)OC1=C2C=CC=CC2=CC=C1,Tox21,20,42,0.008291423,0.01512151,2.1126149,2.5011482,1.3810561e-05,5.2088755e-05
NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O,Tox21,12,24,0.04403014,0.070085265,3.0822937,5.341206,0.0015851622,0.0042688427
CCCCCCCCOC1=CC(O)=C(C=C1)C(=O)C2=CC=CC=C2,Tox21,24,50,0.0077077006,0.015126824,1.7998552,2.2856886,9.577727e-05,0.00022793106
CN1CCCC1=O,Tox21,7,14,0.013415585,0.01583842,2.8317502,3.4344797,1.9990646,2.7992384
OC1=CC=C(C=C1)[N+]([O-])=O,Tox21,10,20,0.052147694,0.08510178,2.1489086,2.3098533,0.0007245485,0.0013477363
OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,Tox21,19,38,0.004341367,0.006395813,2.0462008,2.9419682,0.19547075,0.43350542
CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O,Tox21,16,34,0.01576585,0.027011875,1.7735705,2.1183581,0.00093250984,0.0022279934
CCCCCCCCO,Tox21,9,16,0.0019579171,0.002473516,3.3351476,4.307525,2.373498e-16,3.3825774e-16
NC1=CC=C(C=C1)S(N)(=O)=O,Tox21,11,22,0.025656216,0.037565377,2.333828,3.1551933,0.002527998,0.00629561
CCN1C2=C(C=CC=C2)C3=C1C=CC(N)=C3,Tox21,16,36,0.02477128,0.039322086,2.7860157,3.9530125,0.77520525,1.6982418
NC1=NC(NC2CC2)=NC(N)=N1,Tox21,12,26,0.031749815,0.04029959,2.1799874,3.6084723,0.002612232,0.004575177
CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN2C=NC=N2,Tox21,21,44,0.011642445,0.024195155,1.9406918,3.0086052,0.014411997,0.052297093
[Ca++].CC(O)C([O-])=O.CC(O)C([O-])=O,Tox21,13,20,0.004969862,0.00720522,1.3513695,1.485256,6.2762885e-20,1.0683622e-19
C=CC1=CC=CC=C1,Tox21,8,16,0.04205949,0.061508834,5.1550646,5.56468,0.0009615368,0.002360259
C1CCC2=C(C1)C=CC=C2,Tox21,10,22,0.024600552,0.030973341,4.3838654,4.692822,2.036351e-10,2.6423413e-10
CNC(=O)N(C)C1=NN=C(S1)C(C)(C)C,Tox21,15,30,0.008282878,0.014917018,2.2323008,3.1575065,0.0012167861,0.003133895
CC(O)COCC(C)O,Tox21,9,16,0.002972566,0.0038406528,0.1451172,0.18040131,7.29214e-13,1.3085995e-12
CC1=CC=CC(C)=C1[N+]([O-])=O,Tox21,11,22,0.03166041,0.042583317,3.3109457,4.141283,8.924531e-05,0.00015640564
CCCCC(CC)C(O)=O,Tox21,10,18,0.0033658717,0.004901927,3.0534706,3.3846574,6.7818337e-06,1.1555834e-05
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,Tox21,16,30,0.0033352484,0.00576635,1.9961782,3.1129904,0.008272993,0.011829746
CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,Tox21,14,28,0.017843228,0.028639711,2.9934032,4.233165,3.014325e-08,6.408149e-08
CN1CCC[C@H]1C2=CN=CC=C2,Tox21,12,26,0.01761478,0.026088491,2.4792268,3.4319372,0.00035209206,0.00063246523
COC(=O)C1=CC=C(C=C1)C(=O)OC,Tox21,14,28,0.013468341,0.02066129,2.9807298,3.6505394,1.2520004e-05,2.0647833e-05
CCCCCCCCCCC=CC1CC(=O)OC1=O,Tox21,19,38,0.00293086,0.005005521,2.0264778,2.6454444,4.467629e-07,9.022096e-07
ClCCNP1(=O)OCCCN1CCCl,Tox21,14,28,0.0026460143,0.003730263,1.4067012,1.7637966,0.114543356,0.2929899
COC1=C(O)C=CC(CC=C)=C1,Tox21,12,24,0.01570358,0.026208567,3.111552,3.679205,0.026071915,0.04709281
[Na+].CN1C(CC([O-])=O)=CC(C)=C1C(=O)C2=CC=C(Cl)C=C2,Tox21,21,42,0.015331788,0.025481822,2.1336372,2.7876167,1.491227e-08,2.5548388e-08
[Na+].[O-]C(=O)COC1=C(Cl)C=C(Cl)C=C1,Tox21,14,26,0.020720996,0.04052855,2.8392792,3.6227055,1.3376361e-06,2.4051474e-06
C1CCC(CC1)NC2CCCCC2,Tox21,13,28,0.005126797,0.0055527817,2.8404346,4.6767507,7.004897e-07,2.1422818e-06
CC(=O)C(O)=O,Tox21,6,10,0.01800348,0.024892755,2.0941968,2.2334037,5.475357e-05,9.6875e-05
CC(=O)\C=C\C1=C(C)CCCC1(C)C,Tox21,14,28,0.007772941,0.010587996,2.51749,3.3301642,4.2750617e-05,8.037869e-05
CC1=C(O)C(=O)C=CO1,Tox21,9,18,0.053487208,0.09205273,2.0062292,2.4068475,0.0016066423,0.0036023443
CC1=CC(C)=CC(C)=C1,Tox21,9,18,0.027808705,0.034439925,3.8479614,3.9003494,1.846236e-05,3.1725987e-05
CCCC(O)=O,Tox21,6,10,0.006463647,0.008723179,2.2533562,2.7642622,0.23540564,0.3976635
CCCCCCCCCCCCC1=CC=CC=C1,Tox21,18,36,0.003289624,0.0052540977,2.3182547,2.5543206,2.489998e-13,4.6104526e-13
CS(=O)(=O)NC(=O)C1=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=CC=C1[N+]([O-])=O,Tox21,28,58,0.009828716,0.022514021,1.4725397,1.9671562,3.8344597e-06,8.074344e-06
CCOP(Cl)(Cl)=O,Tox21,7,12,0.004070854,0.004764755,3.2561262,4.169836,1.6214105e-21,2.2397757e-21
COC(=O)C1=CC=C(C)C=C1,Tox21,11,22,0.019930435,0.03295523,3.7042437,4.159526,0.00030463032,0.00072251976
COC(=O)C1=CC=C(C=O)C=C1,Tox21,12,24,0.020800976,0.03382927,3.5374498,4.0529037,3.6813977e-05,9.4573545e-05
OC(=O)CC(O)(CC(O)=O)C(O)=O,Tox21,13,24,0.0077503547,0.012451644,1.0629478,1.6869085,0.3470169,0.8862339
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC(=C)C4=CC(=O)C=C[C@]34C,Tox21,22,50,0.010234867,0.014493523,1.9609692,2.8895602,0.00051418314,0.0010642285
FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1,Tox21,28,58,0.004573712,0.008789713,1.4182847,2.2084734,0.34399784,0.8353368
CCCOC(=O)C1=CC(O)=C(O)C(O)=C1,Tox21,15,30,0.017353129,0.028215786,1.7588427,2.368957,0.06564589,0.1953728
C(CN1CCOCC1)CC2=CC=C(COC3=CC=CC=C3)C=C2,Tox21,23,50,0.007961776,0.016403498,1.8089533,2.2910633,0.0020292578,0.0050251833
CC12CC3CC(C)(C1)CC(N)(C3)C2,Tox21,13,30,0.01055679,0.011659401,2.8386095,4.5630713,0.3540713,0.8463158
ClC1=CC=C(C=C1)C(=O)NCCN2CCOCC2,Tox21,18,38,0.009175908,0.015006177,1.956449,2.6966505,0.010931755,0.02183635
NC(=O)N1C2=CC=CC=C2C=CC3=C1C=CC=C3,Tox21,18,40,0.027123172,0.046156976,2.345268,3.3026936,5.8527443e-05,0.00014844624
CC1=CC(=O)NC(=S)N1,Tox21,9,18,0.047137957,0.08499345,2.5285597,3.0814593,2.796099e-05,6.272082e-05
